,education_spending_gdp,pisa_avg,gdp_growth,rd_expenditure,tertiary_attainment,gini
education_spending_gdp,1.0,0.41935683801538676,-0.22145711133699006,0.5480650839703021,0.24709215858609768,-0.29044365856502274
pisa_avg,0.41935683801538676,1.0,-0.08909784611886533,0.5783111047028202,0.1539675362177649,-0.4133131129388117
gdp_growth,-0.22145711133699006,-0.08909784611886533,1.0,-0.23740699376195096,0.10256821145444091,0.02177068542899345
rd_expenditure,0.5480650839703021,0.5783111047028202,-0.23740699376195096,1.0,0.11583110348891444,-0.492963446542632
tertiary_attainment,0.24709215858609768,0.1539675362177649,0.10256821145444091,0.11583110348891444,1.0,-0.07425240593816647
gini,-0.29044365856502274,-0.4133131129388117,0.02177068542899345,-0.492963446542632,-0.07425240593816647,1.0
